ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,random,group,"Welcome, and thank you for participating!   For this study, you will be shown 10 pictures of anim...",What is your gender?,What is your age?,Do you hold a Bachelors or higher college degree?,77259789 54a97508 2c60 4295 8283 70a11748c541, ,"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",M, ,"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Bilby, ,"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Wombatbat, ,"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Enhanced 1383 1427218286 26, ,"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Enhanced 20524 1427229682 12, ,"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Haggis+are+animals+but+are+very+rare+in+scotland+and+ 441b7ca65f411893fc6f8790270b6aea, ,"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Hqdefault, ,"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",F5b2016710e6d75886d8fe92bf6c3b23, ,"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",3344064508 6dfe6e195c b, ,"What is the name of this animal? If you don't know the animal's name, just type ""I don't know.""",Were the statistics that you were shown during this study helpful in identifying the various anim...,Thank you for participating!   The experiment you just participated in is not actually about iden...,LocationLatitude,LocationLongitude,LocationAccuracy,
R_10TUa5LdKZ8gfDR,Default Response Set,Anonymous,,,50.179.4.158,0,2015-08-02 21:52:59,2015-08-02 21:54:55,1,9f0f7b6a57702667a5aaf2f5e0f8fb03,control,1,Female,27,Yes,1,1,I don't know,1,1,I don't know,1,1,aardvark,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,41.878402709961,-87.685203552246,-1,
R_1Ns3Jm4l7jmgLfR,Default Response Set,Anonymous,,,50.161.34.156,0,2015-08-02 21:52:40,2015-08-02 21:55:29,1,47901b42de9bf907eb99da9d77a4e4c0,control,1,Female,37,Yes,1,1,I don't know,1,1,I don't know,1,1,Tapir?,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,Bear,1,1,Moray eel?,1,1,I don't know,I did not see any statistics,1,37.834503173828,-122.26470184326,-1,
R_2CcPkj3B7zEU8TV,Default Response Set,Anonymous,,,64.201.244.226,0,2015-08-02 21:52:29,2015-08-02 21:55:43,1,ce0fc5cc63994553b5e13c02d142f9c9,control,1,Male,41,Yes,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,wombat,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,37.348602294922,-121.95100402832,-1,
R_2Pik9l2tnW5jp3a,Default Response Set,Anonymous,,,172.248.206.137,0,2015-08-02 21:53:03,2015-08-02 21:56:48,1,b2ca2611b434a10c7d9e98ac355bd201,control,1,Male,26,No,1,1,Llama ,1,1,I don't Know,1,1,Possum ,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't Know,1,1,I don't know,I did not see any statistics,1,33.912902832031,-118.34390258789,-1,
R_bCxDHWBJTIcjdK1,Default Response Set,Anonymous,,,107.184.179.183,0,2015-08-02 21:54:52,2015-08-02 21:57:27,1,fa55e085684c04b127b32431ab0145e2,control,1,Male,40,No,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know ,1,1,I don't know,1,1,I don't know ,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know ,I did not see any statistics,1,34.257202148438,-118.41949462891,-1,
R_wY6bG1970f6WqUp,Default Response Set,Anonymous,,,73.222.120.82,0,2015-08-02 21:56:13,2015-08-02 21:59:02,1,d0b07cb273c8491377187be56845a70d,control,1,Female,39,Yes,1,1,Llama,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,Axolotl,1,1,Axolotl,1,1,I don't know,1,1,I don't know,1,1,Manatee,1,1,I don't know,I did not see any statistics,1,37.424896240234,-122.0074005127,-1,
R_3J7NEP8Ubwn5fvy,Default Response Set,Anonymous,,,50.185.130.50,0,2015-08-02 21:59:35,2015-08-02 22:07:23,1,437ab439be4d2225a1e1ed99f906fe76,control,1,Female,33,Yes,1,1,I don't know,1,1,jerboa,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know ,1,1,eel,1,1,I don't know,I did not see any statistics,1,37.533096313477,-122.24710083008,-1,
R_3qdRlIgoRiK60Bo,Default Response Set,Anonymous,,,99.109.96.242,0,2015-08-02 22:06:52,2015-08-02 22:10:53,1,378c5e027ce2be50f097fbe8e2ba52d1,control,1,Male,45,Yes,1,1,okapi,1,1,dwarf mouse,1,1,I dont know,1,1,tasmanian devil,1,1,I dont know,1,1,I dont know,1,1,I dont know,1,1,I dont know,1,1,I dont know,1,1,I dont know,I did not see any statistics,1,32.810104370117,-97.106101989746,-1,
R_2AQJVdjUHUwG8N6,Default Response Set,Anonymous,,,75.184.100.223,0,2015-08-02 22:07:53,2015-08-02 22:14:22,1,f52959a0be55fcd6cb2a96e980956961,control,1,Male,40,No,1,1,I don't know ,1,1,Kangaroo rat,1,1,Anteater ,1,1,Wombat,1,1,I don't know ,1,1,Zygote ,1,1,Fabio rat,1,1,I don't know ,1,1,I don't know ,1,1,El fabuloso,I did not see any statistics,1,44.184295654297,-88.530502319336,-1,
R_3HGsYDInRzWYzTY,Default Response Set,Anonymous,,,67.188.157.15,0,2015-08-02 22:13:06,2015-08-02 22:16:51,1,f9e2d3caebf9beae64228dd2ca3ec2da,control,1,Male,49,No,1,1,I don't know,1,1,kangaroo mouse,1,1,i dont know,1,1,wingless bat,1,1,salamander,1,1,salamander,1,1,I don't know,1,1,hairless bear,1,1,eel,1,1,sea slug,I did not see any statistics,1,37.574096679688,-122.32099914551,-1,
R_3KI1PqpbxaW8S6v,Default Response Set,Anonymous,,,166.171.249.194,0,2015-08-02 22:22:47,2015-08-02 22:25:41,1,7496bae8b56489eed792e08d78c33b85,control,1,Female,32,Yes,1,1,Alpaca,1,1,Field mouse,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know ,1,1,I don't know,1,1,I don't knoe,I did not see any statistics,1,37.595794677734,-122.01910400391,-1,
R_1BKfstmTK96qNtr,Default Response Set,Anonymous,,,108.245.189.126,0,2015-08-02 22:24:51,2015-08-02 22:28:56,1,49dc425c1125e794f1f610e7f413102a,control,1,Male,35,Yes,1,1,I don't know,1,1,Kangaroo rat,1,1,Don't know,1,1,Don't know,1,1,Salamander,1,1,Amphibian,1,1,Sloth,1,1,Don't know,1,1,Don't know,1,1,Don't know,I did not see any statistics,1,37.804702758789,-122.21240234375,-1,
R_2chWK8rV6tn82hx,Default Response Set,Anonymous,,,69.248.19.29,0,2015-08-02 22:27:10,2015-08-02 22:31:12,1,cac4c3a9e71f1181aad8e2689e655532,control,1,Male,31,Yes,1,1,I don't know,1,1,I don't know,1,1,Anteater,1,1,Wolverine,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,40.751800537109,-74.066200256348,-1,
R_3CBJ0gpLiysn5sz,Default Response Set,Anonymous,,,76.170.37.46,0,2015-08-02 22:27:17,2015-08-02 22:32:23,1,1706d2091273ae66c32ca54a4f45f901,control,1,Female,42,No,1,1,I don't know ,1,1,Rat,1,1,I don't know ,1,1,I don't know ,1,1,I don't know,1,1,I don't know ,1,1,I don't know,1,1,I don't know ,1,1,I don't know ,1,1,I don't know ,I did not see any statistics,1,33.788604736328,-117.93060302734,-1,
R_29hOnPKDlXjwy1L,Default Response Set,Anonymous,,,107.185.252.53,0,2015-08-02 22:27:15,2015-08-02 22:32:56,1,fb542974972b562d38170cfa38a4d155,control,1,Male,60,Yes,1,1,I don't know,1,1,Kangaroo rat,1,1,I don't know,1,1,Wombat,1,1,Newt,1,1,Newt,1,1,Badger,1,1,I don't know,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,33.826705932617,-118.26069641113,-1,
R_1NtElCZoBCOp7p7,Default Response Set,Anonymous,,,166.176.57.186,0,2015-08-02 22:30:30,2015-08-02 22:33:28,1,b21d477839802c68526a81d5ee6faca3,control,1,Male,35,Yes,1,1,I don't know,1,1,I don't kow,1,1,I don't know ,1,1,Wombat ,1,1,I don't know,1,1,I don't know ,1,1,I don't know,1,1,I don't know,1,1,I don't know ,1,1,I don't know ,"No, they were not helpful",1,34.052200317383,-118.24369812012,-1,
R_1msJBq7vunTrNc8,Default Response Set,Anonymous,,,108.83.118.253,0,2015-08-02 22:30:38,2015-08-02 22:34:16,1,7e4f8a28ff84a012f16f0d29e9568d77,control,1,Female,31,Yes,1,1,I don't know,1,1,Kangaroo rat,1,1,I don't know,1,1,I don't know,1,1,It has an 'x' in it.... I remember that much!,1,1,I don't know,1,1,I don't know,1,1,bald sun bear,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,36.617492675781,-121.92129516602,-1,
R_2tfHLE7NaATwSIc,Default Response Set,Anonymous,,,107.146.230.23,0,2015-08-02 22:31:18,2015-08-02 22:35:07,1,2cdaa489fb1fdc7acec5c57fae3c95a8,control,1,Male,41,Yes,1,1,I don't know,1,1,Kangeroo Rat,1,1,I don't know,1,1,I don't know,1,1,Lungfish,1,1,Newt,1,1,I don't know,1,1,Bear with mange,1,1,Monkfish,1,1,Sea Snail,I did not see any statistics,1,35.5498046875,-118.91709899902,-1,
R_0SwdpivbuMPzROV,Default Response Set,Anonymous,,,71.84.243.148,0,2015-08-02 22:33:15,2015-08-02 22:35:12,1,f78ec24c69341f678acdbb435cee88c8,control,1,Female,34,No,1,1,I don't knkw,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know ,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't knkw,I did not see any statistics,1,33.998901367188,-117.44079589844,-1,
R_w5Gsl1JybEDvC5X,Default Response Set,Anonymous,,,72.87.162.181,0,2015-08-02 22:35:46,2015-08-02 22:38:00,1,a47a3ac2d5f9023c3088654e6ecbdeff,control,1,Female,33,Yes,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know ,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,33.633605957031,-117.07049560547,-1,
R_2P50qqfpfiNoIDa,Default Response Set,Anonymous,,,71.160.2.51,0,2015-08-02 22:34:55,2015-08-02 22:39:12,1,4372f4b1e41fb272f9bce094dee56850,control,1,Female,38,Yes,1,1,I don't know,1,1,I don't know,1,1,Rat,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,Eel,1,1,I don't know,I did not see any statistics,1,33.866104125977,-118.05279541016,-1,
R_22Fidy5ctMHGRJi,Default Response Set,Anonymous,,,172.90.80.44,0,2015-08-02 22:36:33,2015-08-02 22:41:20,1,83109c124e2f58d9b9abe6bb1c3800cd,control,1,Female,33,Yes,1,1,Okapi,1,1,I don't know ,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,Sloth,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,33.788497924805,-117.86949920654,-1,
R_2YsM5fXtWs3xcaE,Default Response Set,Anonymous,,,69.181.122.56,0,2015-08-02 22:40:05,2015-08-02 22:42:50,1,5dcbe039ae24ff1683fd875a116e8bed,control,1,Female,32,Yes,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,36.369903564453,-121.84059906006,-1,
R_1NwVPuGgNqiN3du,Default Response Set,Anonymous,,,74.105.202.102,0,2015-08-02 22:33:53,2015-08-02 22:43:08,1,e3de4cdfb5e4ba4aa1f75cffffb1d0c2,control,1,Male,26,Yes,1,1,I don't know,1,1,kangaroo mouse,1,1,I don't know,1,1,I don't know,1,1,Axolotl salamander,1,1,Mexican axolotl,1,1,I don't know,1,1,I don't know,1,1,Frill shark,1,1,I don't know,I did not see any statistics,1,40.846099853516,-74.591400146484,-1,
R_3MM3C8nqePFkVTC,Default Response Set,Anonymous,,,70.209.196.206,0,2015-08-02 22:41:27,2015-08-02 22:45:45,1,330d54dfae3380c8a1a77d8f021ae2b9,control,1,Female,37,Yes,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,33.200393676758,-117.29069519043,-1,
R_3LYBX3zy3YCtWH7,Default Response Set,Anonymous,,,99.54.45.129,0,2015-08-02 22:43:42,2015-08-02 22:46:40,1,1529b0c93fec42be7cfd8f25c7df4f45,control,1,Female,35,No,1,1,I don't know ,1,1,I don't know ,1,1,I don't know ,1,1,I don't know ,1,1,I don't know ,1,1,I don't know ,1,1,I don't know,1,1,I don't know ,1,1,I don't know ,1,1,I don't know ,I did not see any statistics,1,33.894195556641,-117.32460021973,-1,
R_5B9qOkr6IzsEAY9,Default Response Set,Anonymous,,,73.223.48.244,0,2015-08-02 21:53:43,2015-08-02 22:47:45,1,52628c11d56f66fc51eb3a6c1d8bc24a,control,1,Female,42,Yes,1,1,I don't know,1,1,kangaroo rat,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,newt,1,1,i don't know,1,1,I don't know,1,1,eel,1,1,I don't know,I did not see any statistics,1,37.907302856445,-122.28199768066,-1,
R_pK21FYIQ48okHnz,Default Response Set,Anonymous,,,162.207.7.4,0,2015-08-02 22:54:06,2015-08-02 22:56:11,1,fe63085666b2cedeb4ff8979cee1f501,control,1,Female,35,Yes,1,1,Mule,1,1,I don't know,1,1,I don't know ,1,1,I don't know ,1,1,I don't know ,1,1,I don't know ,1,1,I don't know ,1,1,I don't know,1,1,I don't know ,1,1,I don't know ,I did not see any statistics,1,34.073394775391,-118.01390075684,-1,
R_2y2g0Y1N5VU8Owk,Default Response Set,Anonymous,,,108.38.105.149,0,2015-08-02 22:54:13,2015-08-02 23:00:14,1,762dc5618423717084e8a96b06c42ffe,control,1,Male,46,Yes,1,1,Donner and Blitzen ,1,1,Kangaroo mouse,1,1,Ant eater,1,1,I don't know ,1,1,I don't know,1,1,Salamander,1,1,Honey badger,1,1,Elephant ugly sortium ,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,34.000793457031,-117.12660217285,-1,
R_3pimMQ94a7VxkNT,Default Response Set,Anonymous,,,50.1.139.63,0,2015-08-02 23:02:05,2015-08-02 23:10:50,1,2fb5bbc27eddbb7bb79c37b7a828c305,control,1,Female,29,No,1,1,"eland, or something close to that, I think",1,1,kangaroo mouse? (I don't know),1,1,opossum with super sonic hearing (I don't know),1,1,teddy bear with fangs (I don't know),1,1,medusa salamander (I don't know),1,1,albino medusa newt (I don't know),1,1,glamour pig (I don't know),1,1,elephagoat (I don't know),1,1,eel-shark-asaurus (I don't know),1,1,evil spider newt (I don't know),I did not see any statistics,1,34.135192871094,-118.24160003662,-1,
R_3ESDLQLZcee0GnT,Default Response Set,Anonymous,,,69.133.33.26,0,2015-08-02 23:12:45,2015-08-02 23:15:17,1,1189b66adeaa3873bad6860c1fa6f4e9,control,1,Male,42,No,1,1,I don't know.,1,1,kangaroo rat,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,salamander,1,1,I don'tknow.,1,1,I don't know.,1,1,eel,1,1,I don't know.,I did not see any statistics,1,39.747497558594,-84.156097412109,-1,
R_3KGy6kLLodlCQMt,Default Response Set,Anonymous,,,104.174.24.114,0,2015-08-02 23:04:26,2015-08-02 23:18:00,1,af18e99217ff98d71fe320818d841c73,control,1,Female,38,No,1,1,Bongo,1,1,Kangaroo mouse,1,1,Bilby,1,1,I don't know,1,1,Mud puppy,1,1,Aoxolotl,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,33.71989440918,-117.90319824219,-1,
R_3HTSyJimoawTT4J,Default Response Set,Anonymous,,,71.106.233.152,0,2015-08-02 23:38:08,2015-08-02 23:44:32,1,9ee3017a7028b17e35410aaa509d1e69,control,1,Female,73,No,1,1,i don't know,1,1,kangaroo rat,1,1,aarvark,1,1,wombat,1,1,mud puppy,1,1,i don't know,1,1,i don't know,1,1,i don't know,1,1,fin whale,1,1,i don't know,I did not see any statistics,1,33.874298095703,-118.37210083008,-1,
R_6haaIrZATOyxI41,Default Response Set,Anonymous,,,172.56.14.251,0,2015-08-02 23:54:13,2015-08-02 23:59:32,1,4314812a68f9e847360d9097c7655009,control,1,Female,30,No,1,1,I dont know,1,1,rat.mix.with rabbit,1,1,possum,1,1,i.dont know,1,1,i.dont know,1,1,fish.mix.with lizard,1,1,rat mix.with possum,1,1,Elephant mix with lion,1,1,quail,1,1,I dont know,"No, they were not helpful",1,29.763305664062,-95.363296508789,-1,
R_3IR9I8ie7cwvd4O,Default Response Set,Anonymous,,,69.225.128.23,0,2015-08-03 00:15:44,2015-08-03 00:19:52,1,321383eef4d42087ecabe80a87c26117,control,1,Female,26,Yes,1,1,I don't know,1,1,jerboa,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,34.076400756836,-118.26260375977,-1,
R_9WEvRgr2pgyww9P,Default Response Set,Anonymous,,,172.89.25.17,0,2015-08-03 00:20:44,2015-08-03 00:23:27,1,b9071fbf56c2a24d3cbfb6a90bbd47bf,control,1,Female,34,Yes,1,1,I don't know. ,1,1,Kangaroo rat,1,1,I don't know. ,1,1,I don't know. ,1,1,Eel,1,1,I don't know. ,1,1,I don't know. ,1,1,I don't know. ,1,1,I don't know. ,1,1,I don't know. ,I did not see any statistics,1,33.831207275391,-117.86729431152,-1,
R_6AsytFqhUylYk5b,Default Response Set,Anonymous,,,92.23.246.157,0,2015-08-03 00:27:23,2015-08-03 00:33:09,1,fe336ff97727fbfa0b602af4ce741767,control,1,Female,66,No,1,1,I don't know,1,1,kangaroo mouse,1,1,I don't know,1,1,Tasmanian Devil,1,1,mudskipper,1,1,axelotl,1,1,gerbil,1,1,I don't know,1,1,I don't know,1,1,pipefish,I did not see any statistics,1,54.287200927734,-0.41419982910156,-1,
R_2uVRImHt2DrgY76,Default Response Set,Anonymous,,,92.23.246.157,0,2015-08-03 00:40:51,2015-08-03 00:45:07,1,4050fb9ff335089d4138ca58dcf405ac,control,1,Male,51,Yes,1,1,bongo,1,1,jerboa,1,1,bilby,1,1,wombat,1,1,newt,1,1,axelotl,1,1,made up,1,1,i dont know,1,1,conger eel,1,1,sea slug,I did not see any statistics,1,54.287200927734,-0.41419982910156,-1,
R_2s5OhdT9gcfXNK9,Default Response Set,Anonymous,,,99.172.156.91,0,2015-08-03 00:46:34,2015-08-03 00:48:43,1,de8c5d69d4e752f46bc75b68156ad011,control,1,Male,40,No,1,1,kudu,1,1,kangaroo rat,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,i don't know,1,1,I don't know,I did not see any statistics,1,30.218704223633,-81.753997802734,-1,
R_2zAaFuEKbRb5yDs,Default Response Set,Anonymous,,,173.57.9.177,0,2015-08-03 00:52:38,2015-08-03 00:55:43,1,82ac8da9d05057229289f1638cf3e1c6,control,1,Female,27,No,1,1,I don't know.,1,1,Kangaroo rat,1,1,I don't know.,1,1,I don't know.,1,1,axlotl,1,1,axltol,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,I did not see any statistics,1,32.850006103516,-96.961303710938,-1,
R_2R8iU2esmP875bB,Default Response Set,Anonymous,,,116.68.77.137,0,2015-08-03 01:24:44,2015-08-03 01:28:07,1,b616a2d6afa0ecee816547a7b7f62d9f,control,1,Female,31,Yes,1,1,Deer,1,1,Mice,1,1,Macrotis,1,1,Wombat,1,1,I don't know,1,1,Tedpole,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,8.5068969726562,76.956909179688,-1,
R_BtdLc8iaQfzLswV,Default Response Set,Anonymous,,,117.202.60.213,0,2015-08-03 01:53:06,2015-08-03 01:57:04,1,7126dfc5ffb04b7540e3ce7e68e94f4b,control,1,Male,27,Yes,1,1,I don't know,1,1,Kangaroo,1,1,I don't know,1,1,Raccoon ,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,I did not see any statistics,1,16.933303833008,82.216705322266,-1,
R_3qjTLZzbKfx8VQF,Default Response Set,Anonymous,,,108.91.166.166,0,2015-08-03 02:36:49,2015-08-03 02:40:34,1,20bf06710b7215bca57bbf0dc2b5a3ef,control,1,Male,38,No,1,1,Striped deer,1,1,Kangaroo Rat,1,1,Kangaroo Rat,1,1,Badger,1,1,Salamander,1,1,Salamander,1,1,Sloth,1,1,Chucarabra,1,1,I dont know,1,1,I dont know,I did not see any statistics,1,30.634399414062,-85.594802856445,-1,
R_2WGtI8kpwZwxE4l,Default Response Set,Anonymous,,,72.241.151.128,0,2015-08-03 02:56:47,2015-08-03 03:00:51,1,3d7f86f6cd6ae100f144f882f16a7200,control,1,Female,40,Yes,1,1,I don't know.,1,1,Kangarat,1,1,I don't know.,1,1,wombat,1,1,I don't know.,1,1,i don't know,1,1,honey badger,1,1,sloth,1,1,lamprey,1,1,I don't know.,I did not see any statistics,1,41.794006347656,-83.587898254395,-1,
