V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,random,group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LocationLatitude,LocationLongitude,LocationAccuracy,
R_2q2VdQTOXKYoiu9,Default Response Set,Anonymous,,,166.171.58.167,0,2015-08-02 22:00:36,2015-08-02 22:03:11,1,4f3215701237ddbbe0bfb11f380b0d1d,moderate,1,Female,41,Yes,1,1,Deer,1,1,Mouse,1,1,Possum ,1,1,I don't know,1,1,Fish,1,1,I don't know,1,1,I don't know,1,1,Sloth,1,1,Eel,1,1,Fish,"Yes, they were helpful",1,39.945495605469,-75.602401733398,-1,
R_2YuhDvnSMzNDEJY,Default Response Set,Anonymous,,,99.184.251.118,0,2015-08-02 21:59:10,2015-08-02 22:03:54,1,1e788f6d3125a79cbd76a19b8b069da8,moderate,1,Male,45,Yes,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,"No, they were not helpful",1,33.095794677734,-117.27209472656,-1,
R_2CCbpJTr92Rlkgs,Default Response Set,Anonymous,,,45.49.166.18,0,2015-08-02 22:10:08,2015-08-02 22:12:28,1,389611dc2bc4432aa32c574a0e5568cb,moderate,1,Male,30,Yes,1,1,I don't know,1,1,Mouse,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,Sloth,1,1,Eel,1,1,I don't know,"No, they were not helpful",1,34.048599243164,-118.44239807129,-1,
R_237zVn23APuHeTW,Default Response Set,Anonymous,,,98.208.75.163,0,2015-08-02 22:09:00,2015-08-02 22:14:35,1,cbd138a0f97d781454ab49949fd0231a,moderate,1,Female,40,Yes,1,1,gazelle,1,1,kangaroo mouse,1,1,rodent,1,1,bat,1,1,mud puppy,1,1,mud puppy,1,1,I don't know,1,1,I don't know,1,1,shark,1,1,I don't know,"No, they were not helpful",1,38.494995117188,-121.53050231934,-1,
R_27glpEZflx7nSqx,Default Response Set,Anonymous,,,172.250.147.10,0,2015-08-02 22:12:40,2015-08-02 22:15:09,1,ac5788f32e645630298bc8dabbf724d0,moderate,1,Female,35,Yes,1,1,I dont't know,1,1,I dont't know,1,1,I dont't know,1,1,I don't know,1,1,I dont't know,1,1,I dont't know,1,1,I dont't know,1,1,I dont't know,1,1,I dont't know,1,1,I dont't know,"No, they were not helpful",1,33.831207275391,-117.86729431152,-1,
R_1qfhSYzbjJpEtxX,Default Response Set,Anonymous,,,73.162.168.124,0,2015-08-02 22:11:33,2015-08-02 22:17:31,1,bc3c94b0133ff595daa2d5c3acdd3b83,moderate,1,Male,40,Yes,1,1,I don't know,1,1,Kangaroo rat,1,1,Kangaroo rat,1,1,Wombat,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,Eel,1,1,Nudibranch--a blue dragon if I recall correctly,"No, they were not helpful",1,36.67529296875,-121.61019897461,-1,
R_DdA4B64I5zxQ2Rj,Default Response Set,Anonymous,,,71.102.62.21,0,2015-08-02 22:18:49,2015-08-02 22:23:16,1,dfa69eb2abc6607777523abbd812b46f,moderate,1,Female,39,Yes,1,1,Alpaca,1,1,Rodent- mouse,1,1,Opossum,1,1,Wolverine,1,1,I don't know,1,1,Tadpole ,1,1,I don't know,1,1,I don't know,1,1,Eel,1,1,A type of fish,"Yes, they were helpful",1,33.755706787109,-116.23300170898,-1,
R_eCGriFl698HHh1X,Default Response Set,Anonymous,,,71.84.211.28,0,2015-08-02 22:19:47,2015-08-02 22:24:35,1,31ffc43c370d1cb6bc5741500e845712,moderate,1,Female,45,Yes,1,1,deer,1,1,kangaroo,1,1,other,1,1,wolverine,1,1,amphibian,1,1,tadpole,1,1,ferret,1,1,don't know,1,1,eel,1,1,sea slug,"Yes, they were helpful",1,34.143096923828,-117.61599731445,-1,
R_3JL478c25CxnmIo,Default Response Set,Anonymous,,,96.229.147.27,0,2015-08-02 22:25:06,2015-08-02 22:30:07,1,89bc1e5051bdfa1428521d168d0ed121,moderate,1,Male,32,Yes,1,1,I don't know.,1,1,I don't know.,1,1,Possum,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,"Yes, they were helpful",1,34.061401367188,-117.17340087891,-1,
R_2YR4gnkocrcc0v3,Default Response Set,Anonymous,,,71.83.233.97,0,2015-08-02 22:31:26,2015-08-02 22:34:47,1,f4d0a7e7ad7ae82132a9b3aa1075e31f,moderate,1,Male,24,No,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,Bear,1,1,I don't know,1,1,Sea slug,"No, they were not helpful",1,46.328201293945,-119.32220458984,-1,
R_2Ey24i1AUjwOBld,Default Response Set,Anonymous,,,71.84.243.148,0,2015-08-02 22:35:17,2015-08-02 22:37:28,1,43a287450664f14b5cfc88a6098d525c,moderate,1,Male,33,No,1,1,Other,1,1,Other,1,1,Other,1,1,Wolverine ,1,1,Other,1,1,Other,1,1,Other,1,1,Other,1,1,Other,1,1,Other,"No, they were not helpful",1,33.998901367188,-117.44079589844,-1,
R_tExlfUPkfQqGFW1,Default Response Set,Anonymous,,,76.103.173.208,0,2015-08-02 22:32:44,2015-08-02 22:38:19,1,90189b817807c21d2a4b48c6df1ef5ce,moderate,1,Female,46,Yes,1,1,I don't know,1,1,Deer mouse,1,1,I don't know,1,1,Tasmanian devil,1,1,Xolotl,1,1,Axolotl,1,1,I don't know,1,1,I don't know,1,1,Fish,1,1,Nudi,"No, they were not helpful",1,37.901702880859,-122.26150512695,-1,
R_2vZWCp4LkNs8F4W,Default Response Set,Anonymous,,,76.93.157.110,0,2015-08-02 22:42:47,2015-08-02 22:52:06,1,33efec50b08842c7f3abcc0aa5f00598,moderate,1,Female,49,No,1,1,Okapi,1,1,Jumping mouse,1,1,I don't know,1,1,Wolverine,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,Bear,1,1,I don't know,1,1,I don't know,"No, they were not helpful",1,32.821502685547,-117.0843963623,-1,
R_1ouarYoA5P9R1ca,Default Response Set,Anonymous,,,99.44.65.39,0,2015-08-02 22:47:46,2015-08-02 22:52:58,1,8259fd7c4f6c09ef5574f7134b0b4e67,moderate,1,Female,38,No,1,1,Other,1,1,Rat,1,1,Possums ,1,1,Other,1,1,Manatee,1,1,Other,1,1,Other,1,1,Sloth,1,1,Fish,1,1,Coral,"Yes, they were helpful",1,33.750595092773,-117.85559844971,-1,
R_3hbwW7jucwJV4qN,Default Response Set,Anonymous,,,50.0.242.125,0,2015-08-02 22:57:05,2015-08-02 23:02:18,1,bb9c1948dedc5ec767831a915bee06fd,moderate,1,Female,32,Yes,1,1,Llama,1,1,Bunny,1,1,Possum,1,1,I don't know,1,1,I don't know,1,1,Salamander,1,1,I don't know,1,1,I don't know,1,1,Eel,1,1,Shrimp,"No, they were not helpful",1,37.834503173828,-122.26470184326,-1,
R_2c5xjxSrYaYznX7,Default Response Set,Anonymous,,,208.54.4.255,0,2015-08-02 23:11:59,2015-08-02 23:16:46,1,0b0c31b68d079b7b7d6b0f5c7ab95bed,moderate,1,Male,25,Yes,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,bear,1,1,I don't know,1,1,I don't know,"No, they were not helpful",1,34.052200317383,-118.24369812012,-1,
R_beeHPmKWc0AZnYp,Default Response Set,Anonymous,,,173.228.88.19,0,2015-08-03 00:02:12,2015-08-03 00:05:20,1,183bac62e08983227f193cd5ee0fc767,moderate,1,Female,40,Yes,1,1,deer,1,1,mouse,1,1,possum,1,1,wolverine,1,1,otter,1,1,lizard,1,1,badger,1,1,sloth,1,1,eel,1,1,fish,"No, they were not helpful",1,37.38850402832,-122.07409667969,-1,
R_2a9T7ufg1HPx4Mn,Default Response Set,Anonymous,,,121.247.68.245,0,2015-08-03 00:35:43,2015-08-03 00:40:01,1,2ab32bc36ca692ce73a675e27732d5b8,moderate,1,Female,53,No,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,manatee,1,1,tadpole,1,1,badger,1,1,sloth,1,1,fish,1,1,Fish,"Yes, they were helpful",1,20,77,-1,
R_25EUQqrTh5AhCMN,Default Response Set,Anonymous,,,178.78.69.214,0,2015-08-03 00:52:43,2015-08-03 00:56:25,1,28c7e916daafeed1fec5411653116713,moderate,1,Female,45,No,1,1,alpaca,1,1,i don't know,1,1,possum,1,1,wolverine,1,1,manatee,1,1,tadpole,1,1,aardvark,1,1,sloth,1,1,eel,1,1,i dont know,"Yes, they were helpful",1,53.716705322266,-0.33329772949219,-1,
R_1Eck3eeA6cH7Ak0,Default Response Set,Anonymous,,,119.170.148.192,0,2015-08-03 01:09:08,2015-08-03 01:26:19,1,2b6581da2b146050758c70a7e9c282f3,moderate,1,Female,26,Yes,1,1,Some type of deer,1,1,Kangaroo Mouse,1,1,Shrew,1,1,Mix between a bat and badger,1,1,Fat Axolotl,1,1,Axolotl,1,1,I don't know,1,1,Bear,1,1,Eel shark,1,1,Blue Dragon,"No, they were not helpful",1,33.606399536133,130.41809082031,-1,
R_1EaoQKVNKHtkBOl,Default Response Set,Anonymous,,,83.110.155.222,0,2015-08-03 02:21:41,2015-08-03 02:29:32,1,f004d241cfedec243e94c38a81b0009b,moderate,1,Male,25,Yes,1,1,Deer,1,1,I don't know,1,1,Bilby! I got one,1,1,I don't know,1,1,I don't know,1,1,Fish,1,1,80's hair metal Andre Braugher (I don't know),1,1,I don't know,1,1,I don't know,1,1,Mandelbrot fractral (I don't know),"No, they were not helpful",1,25.258193969727,55.304702758789,-1,
R_2uyb98fUQZZmv58,Default Response Set,Anonymous,,,65.188.234.116,0,2015-08-03 02:29:29,2015-08-03 02:31:44,1,a640afd9c924ce2a088ee4a4c6a49e7f,moderate,1,Male,25,No,1,1,alpaca,1,1,other,1,1,other,1,1,wolverine,1,1,fish,1,1,lizard,1,1,aardvark,1,1,other,1,1,eel,1,1,other,"Yes, they were helpful",1,36.124206542969,-80.635101318359,-1,
R_1Im7b7A0VLYOzFT,Default Response Set,Anonymous,,,184.47.91.206,0,2015-08-03 02:45:35,2015-08-03 02:47:06,1,d6f04df27005f410fbf659f3e0f88985,moderate,1,Male,25,No,1,1,Deer,1,1,Mouse,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,tadpole,1,1,badger,1,1,sloth,1,1,other,1,1,I don't know,"Yes, they were helpful",1,34.377593994141,-83.760498046875,-1,
R_3dNb3m9efdeRoeL,Default Response Set,Anonymous,,,76.102.147.210,0,2015-08-03 03:29:20,2015-08-03 03:32:34,1,6114f008c65a19d4e8687a99408afd63,moderate,1,Female,40,Yes,1,1,I don't know,1,1,Chinchilla,1,1,aardvark,1,1,I don't know,1,1,I don't Know,1,1,tadpole,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,"No, they were not helpful",1,36.725799560547,-121.63180541992,-1,
R_2CkVnZtc4erygd5,Default Response Set,Anonymous,,,73.196.182.154,0,2015-08-03 04:19:40,2015-08-03 04:22:14,1,01d44dd1d8984c343d9243e7968921f5,moderate,1,Female,36,Yes,1,1,Alpaca,1,1,Mouse,1,1,Possum,1,1,Badger,1,1,I don't know,1,1,Tadpole,1,1,I don't know.,1,1,I don't know.,1,1,Eel,1,1,Spider,"Yes, they were helpful",1,39.696899414062,-75.125,-1,
R_svwgvJMp1PF6zAZ,Default Response Set,Anonymous,,,69.251.63.244,0,2015-08-03 04:25:39,2015-08-03 04:31:03,1,2312b513b29ca6d72fb5c056b64da5fc,moderate,1,Female,28,Yes,1,1,Baby alpaca,1,1,I don't know,1,1,Baby kangaroo,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,"No, they were not helpful",1,39.295196533203,-76.623100280762,-1,
R_3M4G5AVSfrcCUhQ,Default Response Set,Anonymous,,,166.170.25.131,0,2015-08-03 04:30:48,2015-08-03 04:35:02,1,b29d61dedf04693fe474aea92a278ffa,moderate,1,Male,30,Yes,1,1,Alpaca,1,1,Patagonian cavy,1,1,Possum,1,1,Badger,1,1,I don't know,1,1,Tadpole,1,1,I don't know,1,1,Sloth,1,1,I don't know,1,1,I don't know,"No, they were not helpful",1,40.298706054688,-83.068000793457,-1,
R_2c6GhbMoPEbdGDx,Default Response Set,Anonymous,,,70.194.38.76,0,2015-08-03 04:36:33,2015-08-03 04:39:18,1,6154be35e9c62f10a396d0593f77eebf,moderate,1,Male,48,Yes,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,"Yes, they were helpful",1,42.64860534668,-83.405197143555,-1,
R_54unF4uVD2DSxRD,Default Response Set,Anonymous,,,92.238.38.24,0,2015-08-03 04:41:54,2015-08-03 04:44:11,1,c5a196a5f6e6e74b010f97a3d80c49d1,moderate,1,Male,30,No,1,1,Alpaca,1,1,I don't know.,1,1,Possum,1,1,Tasmanian Devil,1,1,I don't know.,1,1,Tadpole,1,1,Aardvark,1,1,Sloth,1,1,Eel,1,1,I don't know.,"Yes, they were helpful",1,53.433303833008,-1.3500061035156,-1,
R_1cV7jGFJOJIeF9j,Default Response Set,Anonymous,,,106.66.234.160,0,2015-08-03 04:49:47,2015-08-03 04:55:42,1,6d61f47cf052a57667c9a61175107d26,moderate,1,Male,29,Yes,1,1,Deer,1,1,Mouse,1,1,Possum,1,1,Other,1,1,Fish,1,1,Other,1,1,Badger ,1,1,I don't know,1,1,I don't know,1,1,Fish,"Yes, they were helpful",1,20,77,-1,
R_1DHm6NBiSiXvNbe,Default Response Set,Anonymous,,,71.75.21.165,0,2015-08-03 05:18:09,2015-08-03 05:27:00,1,d380db5a58094eb9e658cdab6e59b12c,moderate,1,Male,33,Yes,1,1,I don't know,1,1,Jerboa,1,1,I don't know,1,1,Wolverine,1,1,I don't know,1,1,Tadpole,1,1,I don't know,1,1,Sloth,1,1,Conger Eel,1,1,I don't know,"Yes, they were helpful",1,35.123199462891,-80.934303283691,-1,
R_OeOPr5SenPD5aH7,Default Response Set,Anonymous,,,173.190.31.166,0,2015-08-03 05:24:50,2015-08-03 05:27:15,1,a617360f9178bbda4d8fbf7897c958ef,moderate,1,Male,28,Yes,1,1,Zebra.,1,1,I don't know.,1,1,I don't know.,1,1,Wolverine.,1,1,I don't know,1,1,Salamander.,1,1,I don't know.,1,1,Bear.,1,1,I don't know.,1,1,I don't know.,"No, they were not helpful",1,37.864700317383,-84.56420135498,-1,
R_2bN42MviafpgZhl,Default Response Set,Anonymous,,,74.84.127.14,0,2015-08-03 05:47:04,2015-08-03 05:49:48,1,4c4781bd44238b160535a93fc0aa397b,moderate,1,Male,30,Yes,1,1,Alpaca,1,1,Kangaroo,1,1,Rat,1,1,I don't know,1,1,I don't know,1,1,Lizard,1,1,I don't know,1,1,Sloth,1,1,Eel,1,1,I don't know,"Yes, they were helpful",1,42.527206420898,-90.774002075195,-1,
R_1cTFwotnFBU3RMS,Default Response Set,Anonymous,,,142.197.120.223,0,2015-08-03 05:46:54,2015-08-03 06:06:15,1,f37ff23214ae302c658a8fbd4e234d6c,moderate,1,Female,35,Yes,1,1,Deer ,1,1,Mouse ,1,1,Possum ,1,1,Porcupine ,1,1,I don't know ,1,1,Fish ,1,1,I don't know ,1,1,I don't know ,1,1,Whale ,1,1,Fish ,"No, they were not helpful",1,28.607894897461,-81.30549621582,-1,
R_3neWT3NEK8ShaoA,Default Response Set,Anonymous,,,71.236.116.10,0,2015-08-03 06:45:03,2015-08-03 06:49:06,1,70d82723f991a912ec062c9d7bdcc53e,moderate,1,Female,38,No,1,1,bongo antelopes,1,1,I do not know,1,1,bilby,1,1,bat,1,1,I do not know,1,1,tadpole,1,1,wild haggis,1,1,hairless bear,1,1,walking shark,1,1,blue dragon,"Yes, they were helpful",1,40.158203125,-80.255302429199,-1,
R_2cAbbpzAMGQCCyq,Default Response Set,Anonymous,,,166.170.39.161,0,2015-08-03 06:44:07,2015-08-03 06:49:31,1,24f9f492a39c414632b3b477612d6b45,moderate,1,Male,38,No,1,1,I don't know,1,1,Gerbil,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,Tadpole,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,"No, they were not helpful",1,37.804397583008,-122.27079772949,-1,
R_333IW1iv3Ir0gmd,Default Response Set,Anonymous,,,70.189.34.122,0,2015-08-03 06:44:31,2015-08-03 06:50:00,1,62f86d3031e66321d8ba87651b233d9f,moderate,1,Male,30,No,1,1,deer,1,1,Kangaroo mouse,1,1,i don't know,1,1,i don't know,1,1,Other,1,1,Newt,1,1,i don't know,1,1,Other,1,1,Eel,1,1,i don't know,"No, they were not helpful",1,29.957901000977,-91.872100830078,-1,
R_25Xjm4d7nPtDdi1,Default Response Set,Anonymous,,,162.250.84.214,0,2015-08-03 06:47:56,2015-08-03 06:51:08,1,e2a88401a870141e48d828088b566951,moderate,1,Female,34,No,1,1,Deer,1,1,I don't know,1,1,Possum,1,1,wolverine,1,1,I don't know,1,1,I don't know,1,1,i don't know,1,1,I don't know,1,1,eel,1,1,i don't know,"Yes, they were helpful",1,32.497100830078,-85.035697937012,-1,
R_1E5szJwQJegMouq,Default Response Set,Anonymous,,,74.70.140.227,0,2015-08-03 06:46:39,2015-08-03 06:51:10,1,e08b858203c641642ff61d755b8d8749,moderate,1,Male,30,Yes,1,1,I don't know,1,1,Kangaroo Mouse,1,1,Opossum,1,1,I don't know,1,1,Catfish,1,1,I don't know,1,1,I don't know,1,1,Bear,1,1,Eel,1,1,I don't know,"No, they were not helpful",1,42.688095092773,-73.063003540039,-1,
R_27ricGeBemk3g9a,Default Response Set,Anonymous,,,4.35.237.1,0,2015-08-03 06:55:48,2015-08-03 06:57:17,1,9c8790f139c152c3a294ff3060207e97,moderate,1,Male,25,Yes,1,1,I don't know,1,1,I don't know,1,1,Muad'Dib,1,1,Wombat,1,1,Axlotl,1,1,Axlotl,1,1,Skunk,1,1,I don't know,1,1,I don't know,1,1,I don't know,"No, they were not helpful",1,39.052597045898,-77.121002197266,-1,
R_wNs0WeSqn94LUNr,Default Response Set,Anonymous,,,76.255.216.79,0,2015-08-03 07:08:24,2015-08-03 07:15:21,1,05ae3fbbe44331192d88019cca79af9b,moderate,1,Female,61,Yes,1,1,I don't know,1,1,newborn joey kangaroo,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,eel,1,1,I don't know,"No, they were not helpful",1,43.264007568359,-82.658897399902,-1,
R_3JqlYCEbrf0n7q1,Default Response Set,Anonymous,,,73.140.73.151,0,2015-08-03 07:11:58,2015-08-03 07:16:12,1,ec3b9450b01b8ff6bcc00579e19d53fa,moderate,1,Female,25,No,1,1,Deer,1,1,Mouse,1,1,Possum,1,1,Other,1,1,I don't know,1,1,Tadpole,1,1,Other,1,1,Other,1,1,Eel,1,1,Fish,"No, they were not helpful",1,47.197998046875,-122.44729614258,-1,
R_3nAvwU5Sx6otTTS,Default Response Set,Anonymous,,,99.38.133.74,0,2015-08-03 07:17:48,2015-08-03 07:23:19,1,fa75eeeeb867831ba0d0b339e2f81e5a,moderate,1,Female,41,No,1,1,Alpaca,1,1,I don't know,1,1,Possum,1,1,I don't know,1,1,Manatee,1,1,Tadpole,1,1,Badger,1,1,Sloth,1,1,I don't know,1,1,I don't know,"Yes, they were helpful",1,34.238693237305,-118.2467956543,-1,
R_2BznVBI8ndyDVnE,Default Response Set,Anonymous,,,54.174.77.195,0,2015-08-03 07:26:42,2015-08-03 07:30:51,1,473a645947ff81dffd9716685b9fced2,moderate,1,Female,26,Yes,1,1,I don't know,1,1,I don't know,1,1,Anteater,1,1,Wolverine,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,"No, they were not helpful",1,39.043701171875,-77.487503051758,-1,
R_3Mm1oBspGUNoBPl,Default Response Set,Anonymous,,,99.127.196.40,0,2015-08-03 07:37:10,2015-08-03 07:41:10,1,77aefbe3ef1e5da3265bccdca9548471,moderate,1,Male,32,No,1,1,Alpaca,1,1,I don't know,1,1,Kangaroo Rat,1,1,Porcupine,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,Mangy Bear,1,1,Eel,1,1,I don't know,"No, they were not helpful",1,35.92790222168,-84.08519744873,-1,
R_O3YloHlW483qLSh,Default Response Set,Anonymous,,,74.70.16.32,0,2015-08-03 07:45:10,2015-08-03 07:47:56,1,45208ff2616e897ce7bf38703e05c4e2,moderate,1,Female,33,Yes,1,1,I don't know,1,1,Mouse,1,1,Possum,1,1,Porcupine,1,1,Otter,1,1,Lizard,1,1,Badger,1,1,I don't know,1,1,Eel,1,1,I don't know,"Yes, they were helpful",1,43.352294921875,-73.689796447754,-1,
