V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,random,group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LocationLatitude,LocationLongitude,LocationAccuracy,
R_1DuwWl3LIRQBFm8,Default Response Set,Anonymous,,,198.135.125.81,0,2015-08-03 05:28:23,2015-08-03 05:35:50,1,914996e5889ce6a5d7815401fd4f1c70,strong,1,Female,40,Yes,1,1,Gazelle,1,1,Mini Kangaroo,1,1,Rodent,1,1,Some sort of bat.,1,1,Salamander,1,1,Salamander,1,1,I don't know.,1,1,I don't know.,1,1,Shark (missing dorsal fin),1,1,I don't know,"No, they were not helpful",1,41.850006103516,-87.650001525879,-1,
R_9G45LC2XIpwiz3H,Default Response Set,Anonymous,,,97.84.173.192,0,2015-08-03 05:44:40,2015-08-03 05:47:25,1,677b606159cda2663fedc104c710dc74,strong,1,Male,38,No,1,1,deer,1,1,kangaroo mouse,1,1,rat,1,1,wolverine,1,1,dragonfish,1,1,dragonfish,1,1,i don't know,1,1,bear,1,1,eel fish,1,1,i don't know,"Yes, they were helpful",1,43.498901367188,-84.15599822998,-1,
R_430k2T9DY84zyFz,Default Response Set,Anonymous,,,166.173.58.173,0,2015-08-03 05:43:28,2015-08-03 05:48:04,1,f75f10f81eedeb1e46b6ca9702ff4f7d,strong,1,Female,26,Yes,1,1,i dont know,1,1,mouse,1,1,kangaroo rat,1,1,wolverine,1,1,i dont know,1,1,tadpole,1,1,i dont know,1,1,hairless bear,1,1,lamprey,1,1,fish,"Yes, they were helpful",1,32.783096313477,-96.806701660156,-1,
R_2BrC9V4zYvo69TL,Default Response Set,Anonymous,,,172.2.142.120,0,2015-08-03 05:46:06,2015-08-03 05:48:08,1,454f2de1b7066e95097b217f6357eb42,strong,1,Female,33,Yes,1,1,Antelope,1,1,I don't know,1,1,Possum,1,1,Badger,1,1,Lizard,1,1,Lizard,1,1,Mongoose,1,1,Sloth,1,1,Eel,1,1,Sea Anenome,"Yes, they were helpful",1,32.777297973633,-117.10079956055,-1,
R_2z6eA3ZAcWCLqDI,Default Response Set,Anonymous,,,73.41.169.129,0,2015-08-03 05:58:42,2015-08-03 06:04:51,1,06a80b3a7408809ce156cbee6af48e85,strong,1,Female,34,No,1,1,Deer,1,1,Rat ,1,1,I don't know ,1,1,Wolverine ,1,1,Fish ,1,1,Fish,1,1,Badger ,1,1,I dont know ,1,1,Eel,1,1,Coral ,"No, they were not helpful",1,37.678298950195,-120.95010375977,-1,
R_3pHIBxeTICPJ2Qp,Default Response Set,Anonymous,,,14.99.231.94,0,2015-08-03 06:07:42,2015-08-03 06:11:39,1,e73460f4efba83d235d078d2f9d207e0,strong,1,Male,33,Yes,1,1,Deer,1,1,Mouse,1,1,Possum,1,1,Wolverine,1,1,Fish,1,1,Tadpole,1,1,Badger,1,1,I don't know,1,1,Fish,1,1,Fish,"Yes, they were helpful",1,13.083297729492,80.283294677734,-1,
R_3PLl2XeniwjgG6s,Default Response Set,Anonymous,,,172.56.20.208,0,2015-08-03 06:18:31,2015-08-03 06:20:36,1,7a099a6de52dee2045b52916f98153c8,strong,1,Male,28,Yes,1,1,I don't know,1,1,I don't know,1,1,Wombat,1,1,Wolverine,1,1,I don't know,1,1,Salamander,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,"No, they were not helpful",1,38,-97,-1,
R_41GrUQmK5qN58tP,Default Response Set,Anonymous,,,74.84.95.210,0,2015-08-03 06:43:49,2015-08-03 06:47:51,1,0ccec4ceed348ceea93ee328e5222c4f,strong,1,Male,29,Yes,1,1,Deer of some sort,1,1,I don't know,1,1,I don't know,1,1,Bat,1,1,I don't know,1,1,Lizard ... Did you get these photos from imgur?,1,1,rat,1,1,Bear,1,1,frill shark,1,1,I don't know,"No, they were not helpful",1,30.421295166016,-87.216903686523,-1,
R_2awzeKXwPfbtXBb,Default Response Set,Anonymous,,,66.210.55.170,0,2015-08-03 05:16:00,2015-08-03 07:05:53,1,3bb000109720fc5434fb2e1ea66b0aa5,strong,1,Male,32,Yes,1,1,I don't know,1,1,Kangaroo mouse,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,Donald Trump,1,1,I don't know,1,1,I don't know,1,1,I don't know,"No, they were not helpful",1,33.571701049805,-117.72889709473,-1,
R_1dEb44gbdnWhKqK,Default Response Set,Anonymous,,,24.196.164.55,0,2015-08-03 07:00:55,2015-08-03 07:06:50,1,93e439a8f44d39d105cc9659ecf0bd88,strong,1,Male,27,Yes,1,1,I don't know,1,1,Mouse,1,1,Possum,1,1,Badger,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,"Yes, they were helpful",1,35.610000610352,-80.98819732666,-1,
R_3nMJXPj44lCjt3C,Default Response Set,Anonymous,,,76.174.6.157,0,2015-08-03 07:05:58,2015-08-03 07:10:09,1,8fa009022026c9863ef4451bd993cd92,strong,1,Female,60,No,1,1,cow,1,1,wombat,1,1,opossum,1,1,I don't know,1,1,eel,1,1,tadpole,1,1,skunk,1,1,sloth,1,1,eel,1,1,jellyfish,"No, they were not helpful",1,33.949401855469,-116.97750091553,-1,
R_3NQjswxBhhaD7PM,Default Response Set,Anonymous,,,76.174.5.192,0,2015-08-03 07:28:18,2015-08-03 07:33:09,1,c71bb1a3cb82c05ddcb23a0bd1ea6063,strong,1,Female,62,Yes,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,EEL,1,1,I don't know,"No, they were not helpful",1,34.048599243164,-117.01429748535,-1,
R_2QAOqOkGKKXRajj,Default Response Set,Anonymous,,,5.13.137.19,0,2015-08-03 07:38:22,2015-08-03 07:41:35,1,4b78392366cc9786c62d0c90a126e6aa,strong,1,Male,45,Yes,1,1,Alpaca,1,1,I don't know.,1,1,Possum,1,1,bat,1,1,I don't know.,1,1,fish,1,1,I don't know,1,1,I don't know,1,1,Eel,1,1,I don't know,"No, they were not helpful",1,45.449996948242,28.050003051758,-1,
R_2dmqG6dXuyizATt,Default Response Set,Anonymous,,,108.208.53.69,0,2015-08-03 07:35:46,2015-08-03 07:43:30,1,17a7dadc135fff6edf3edc9250f814c9,strong,1,Male,33,Yes,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,Amphibian,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,"No, they were not helpful",1,37.775802612305,-122.41279602051,-1,
R_2zxchNPaT4M2oMr,Default Response Set,Anonymous,,,50.80.170.21,0,2015-08-03 07:41:00,2015-08-03 07:44:49,1,6d2de95c75b484cd7a5c0bd18aa658dd,strong,1,Male,30,No,1,1,Deer,1,1,jerboa,1,1,Possum,1,1,I don't know,1,1,Axolotl,1,1,Axolotl,1,1,Badger,1,1,Sun bear,1,1,Shark,1,1,Sea slug,"No, they were not helpful",1,37.218994140625,-93.317596435547,-1,
R_2qeFRJJgof3Vf8z,Default Response Set,Anonymous,,,68.189.159.74,0,2015-08-03 07:46:04,2015-08-03 07:50:09,1,c8714f686cecdd514db17e5ddc06225f,strong,1,Male,37,No,1,1,Apaca,1,1,Rabbit,1,1,Possum,1,1,Badger,1,1,Manatee,1,1,tadpole,1,1,Aardvark,1,1,Bear,1,1,eel,1,1,Squid,"Yes, they were helpful",1,34.832595825195,-82.455703735352,-1,
R_3sAefY59KekGa6b,Default Response Set,Anonymous,,,66.210.55.170,0,2015-08-03 07:59:34,2015-08-03 08:04:09,1,fa0ad8906c73a769c05f579d971fe717,strong,1,Female,57,Yes,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,badger,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,"No, they were not helpful",1,33.571701049805,-117.72889709473,-1,
R_C7j15wD59FVewsV,Default Response Set,Anonymous,,,173.71.74.239,0,2015-08-03 08:05:54,2015-08-03 08:09:09,1,6ebbde9007a89081f7db3d4ec74808cc,strong,1,Female,42,Yes,1,1,alpaca,1,1,i don't know,1,1,i don't know,1,1,bat,1,1,fish,1,1,tadpole,1,1,i don't know,1,1,sloth,1,1,eel,1,1,fish,"No, they were not helpful",1,40.238800048828,-74.698799133301,-1,
R_1HpEPwCUsam3TqY,Default Response Set,Anonymous,,,66.210.55.170,0,2015-08-03 08:13:20,2015-08-03 08:17:31,1,8bdd499eb5192bfe89e87db949df045c,strong,1,Female,38,Yes,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,Tadpole,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,"No, they were not helpful",1,33.571701049805,-117.72889709473,-1,
R_5aksx0ehmbsNHMt,Default Response Set,Anonymous,,,108.77.12.215,0,2015-08-03 08:34:04,2015-08-03 08:37:10,1,09809db4c14d29a1d29de402b3b0eeb5,strong,1,Male,19,No,1,1,idk,1,1,idk,1,1,idk,1,1,idk,1,1,idk,1,1,idk,1,1,idk,1,1,idk,1,1,eel,1,1,idk,"Yes, they were helpful",1,30.098297119141,-95.357002258301,-1,
R_OxHs9t3aEyWoZDX,Default Response Set,Anonymous,,,66.210.55.170,0,2015-08-03 09:11:00,2015-08-03 09:13:17,1,440ac5b4c9bb5dd38481539fbdbb4061,strong,1,Male,25,Yes,1,1,I don't know,1,1,Kangaroo Rat,1,1,I don't know,1,1,Wombat,1,1,I don't know,1,1,Tadpole,1,1,I don't know,1,1,I don't know,1,1,Primative shark thing discovered last year,1,1,I don't know,"No, they were not helpful",1,33.571701049805,-117.72889709473,-1,
R_pMjFAlVtvWDj3Tb,Default Response Set,Anonymous,,,66.210.55.170,0,2015-08-03 09:22:17,2015-08-03 09:24:50,1,3990cc5bc767f97dc1e44113397b4e46,strong,1,Female,34,Yes,1,1,I don't know,1,1,I don't know,1,1,possum,1,1,i don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,1,1,I don't know,"No, they were not helpful",1,33.571701049805,-117.72889709473,-1,
R_2uvzoRFds5e2Iv6,Default Response Set,Anonymous,,,132.188.64.218,0,2015-08-03 09:12:05,2015-08-03 09:27:46,1,448ff1b42a0ad0f681ea92d289c604c0,strong,1,Male,25,Yes,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,1,1,I don't know.,"No, they were not helpful",1,37.973495483398,-122.53109741211,-1,
R_3Ry0Z1HysXncdgj,Default Response Set,Anonymous,,,66.210.55.170,0,2015-08-03 09:29:06,2015-08-03 09:32:27,1,72d40c259205297275c2319af20f9010,strong,1,Male,40,Yes,1,1,Lama,1,1,Mouse,1,1,Rat,1,1,Wolverine,1,1,fish,1,1,Fish,1,1,Other,1,1,Not Real,1,1,eel,1,1,I dont know,"Yes, they were helpful",1,33.571701049805,-117.72889709473,-1,
R_72vuJQ5AhacnrEt,Default Response Set,Anonymous,,,172.250.160.42,0,2015-08-03 09:26:23,2015-08-03 09:34:18,1,82f489bdf00d2cc56d6bcc9e84999948,strong,1,Female,52,No,1,1,I don't know ,1,1,I don't know ,1,1,I don't know ,1,1,I don't ky,1,1,I don't know ,1,1,I don't know ,1,1,I don't know ,1,1,I don't Know ,1,1,I don't know ,1,1,I don't Know ,"No, they were not helpful",1,34.048599243164,-117.01429748535,-1,
R_2PkfYs5zYV3beiA,Default Response Set,Anonymous,,,137.229.29.62,0,2015-08-03 09:31:04,2015-08-03 09:34:35,1,c937fb84d693d9a48424bac68194df48,strong,1,Male,53,Yes,1,1,opkai,1,1,kangaroo Rat,1,1,rat,1,1,Shrew,1,1,Newt,1,1,i dont know,1,1,Mole rat,1,1,Mayalsiuan Sun Bear,1,1,Moray eal,1,1,Salamander,"No, they were not helpful",1,64.837799072266,-147.71640014648,-1,
R_1l65tRmNMk2M4vx,Default Response Set,Anonymous,,,162.200.146.157,0,2015-08-03 10:02:13,2015-08-03 10:05:01,1,1af258cd2e8d44ac13685d4d4f994bbe,strong,1,Female,24,Yes,1,1,deer,1,1,mouse,1,1,rat,1,1,bat,1,1,salamander,1,1,salamander,1,1,badger,1,1,bear,1,1,fish,1,1,nudibranch,"Yes, they were helpful",1,36.971298217773,-121.98750305176,-1,
R_3LZOpW0xaa6tsZv,Default Response Set,Anonymous,,,23.243.193.110,0,2015-08-03 10:06:33,2015-08-03 10:09:09,1,7d60e24e7f33b4fa8ce3c8c7e9f8ba5e,strong,1,Male,20,No,1,1,Deer,1,1,I don't know,1,1,Mouse,1,1,Badger,1,1,Salamander,1,1,Salamander,1,1,Sloth,1,1,Bear,1,1,Eel,1,1,Urchin,"No, they were not helpful",1,33.711898803711,-117.34339904785,-1,
